,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
1,94.33,95.5,90.56,92.42,92.2,88.44,87.76,82.54,84.11,83.63,82.42,81.08,81.64,79.67,77.29,-0.57,-21.24,21.24,0.73,18.33,39.33,17.33,22.0,43.0,54.67,92.0,94.67,95.67,95.67,95.33,95.33,18.33,37.5,16.33,16.33,40.33,62.0,93.17,96.17,96.17,96.0,96.17,95.83,15.0,30.22,13.22,11.89,53.78,68.67,90.11,92.78,92.89,91.89,91.78,91.67,13.33,19.0,7.83,11.67,57.92,70.5,90.58,93.67,93.08,92.92,92.5,92.67,7.2,7.6,4.0,8.93,57.33,77.0,91.0,93.6,93.2,93.07,92.8,92.8,7.89,8.11,4.72,13.89,64.89,82.67,91.06,92.33,92.39,91.94,91.06,91.06,7.57,11.81,6.86,17.57,68.52,85.9,90.48,91.81,91.71,91.19,90.38,90.43,6.67,12.46,7.33,18.92,73.58,87.67,90.54,91.38,89.92,88.79,88.12,88.42,6.93,11.07,7.7,20.59,75.11,88.19,90.52,91.44,90.15,89.37,89.0,88.74,5.93,8.4,10.53,30.33,77.53,87.13,89.4,90.7,89.5,88.47,87.37,87.37,5.67,10.3,12.85,42.88,78.42,86.91,89.09,89.91,89.52,88.15,86.52,86.79,6.67,12.17,11.39,39.97,76.64,85.83,88.69,89.53,88.53,87.75,86.19,86.44,5.74,15.59,13.31,42.31,78.49,85.62,88.38,89.31,88.67,87.92,86.46,86.69,3.38,15.14,11.48,45.9,78.05,85.69,87.83,88.98,88.07,86.86,85.26,85.26,1.53,13.67,6.09,37.51,77.6,85.36,87.58,88.18,87.44,86.62,84.82,85.09,0,NLP,bert,-1,proto,True,e49_seq-clinc150_bert_auto_er_200,1,none,0,[11],1,seq-clinc150,1,auto_er_nlp,1e-05,uniform,32,20,1,True,m,200,32,1.0,True,False,False
2,94.0,90.83,90.78,90.42,88.6,82.56,82.29,77.79,75.63,74.13,70.52,66.44,65.15,64.24,60.84,-0.71,-37.79,37.79,0.76,26.0,43.67,70.67,78.33,86.67,89.67,89.33,90.0,91.67,93.33,93.67,94.33,21.33,37.67,60.5,71.83,85.33,90.83,92.33,92.33,92.33,92.17,92.0,92.17,15.44,43.67,52.56,69.44,80.56,88.33,91.33,92.33,92.22,92.11,91.44,91.67,12.42,27.33,50.25,68.0,77.83,86.58,89.75,91.17,91.83,91.67,90.83,91.33,12.2,25.27,54.33,72.13,81.07,87.67,89.53,89.87,90.2,90.47,89.87,90.27,11.5,20.28,56.83,78.56,85.06,88.56,88.39,88.06,87.44,87.28,87.17,87.22,12.38,21.24,61.0,77.86,85.81,88.14,88.19,87.9,87.38,86.52,85.86,85.52,17.71,30.38,64.83,81.42,87.96,89.17,89.08,87.79,86.88,86.29,86.0,86.12,18.74,22.63,59.56,78.07,85.85,87.33,87.48,86.26,85.59,84.11,83.48,83.59,14.6,26.07,53.73,75.93,84.43,85.77,86.5,85.47,84.17,83.37,82.4,83.6,11.21,21.36,52.09,78.24,84.0,85.21,85.39,83.67,81.67,80.73,80.82,81.48,10.14,17.58,54.19,75.89,84.0,85.31,84.25,82.39,81.75,79.86,79.08,79.36,4.77,36.08,64.92,73.77,82.69,83.97,82.64,81.64,80.33,79.59,78.44,77.92,4.69,42.79,61.36,75.24,82.14,82.4,81.88,79.95,78.93,77.29,76.83,76.14,5.0,45.89,60.38,73.09,79.84,80.82,81.49,79.42,77.98,76.71,75.33,75.89,0,NLP,albert,-1,proto,True,e49_seq-clinc150_albert_auto_er_200,1,none,0,[11],1,seq-clinc150,1,auto_er_nlp,1e-05,uniform,32,20,1,True,m,200,32,1.0,True,False,False
3,96.0,94.5,90.33,92.25,91.8,88.44,88.33,83.38,83.85,82.73,81.48,77.86,76.97,76.52,73.73,-0.79,-25.07,25.07,0.85,10.0,15.33,45.67,89.33,96.0,96.0,96.33,96.0,96.67,96.67,96.67,10.33,7.5,18.17,48.33,86.67,91.67,93.33,94.67,95.17,94.5,94.17,93.67,10.83,6.0,14.67,48.44,80.0,87.22,91.33,93.33,93.67,92.33,92.22,88.56,6.44,6.67,15.25,45.25,82.17,88.33,92.83,93.67,93.92,93.67,92.5,78.25,2.5,2.0,9.8,42.93,83.53,89.67,93.33,93.93,93.07,93.13,92.8,87.93,8.0,1.67,8.56,45.5,83.56,88.78,92.11,92.44,91.56,92.06,92.06,89.17,1.67,2.71,10.71,53.14,84.19,89.95,93.05,92.86,91.48,91.24,90.9,88.52,2.62,1.92,15.71,59.5,86.42,89.75,91.46,91.29,89.79,89.92,89.46,87.79,1.25,1.89,16.41,60.19,84.33,88.48,91.22,91.78,90.81,90.63,90.11,87.85,1.11,1.47,19.77,67.73,83.6,86.77,90.13,90.8,89.33,89.67,89.7,79.77,2.0,1.42,23.73,70.45,84.27,87.94,90.48,90.88,89.85,89.55,88.67,83.67,0.91,1.33,27.39,71.19,84.72,88.28,90.72,91.56,89.69,89.94,89.83,80.03,1.67,1.05,25.64,73.51,84.62,87.74,90.28,90.77,88.38,88.67,88.26,78.82,1.08,0.79,16.1,71.43,83.55,87.4,89.69,90.21,87.95,87.83,87.26,80.48,1.95,0.73,19.07,71.4,83.07,86.42,89.09,89.4,87.71,87.22,86.11,79.78,2.0,0,NLP,xlnet,-1,proto,True,e49_seq-clinc150_xlnet_auto_er_200,1,none,0,[11],1,seq-clinc150,1,auto_er_nlp,1e-05,uniform,32,20,1,True,m,200,32,1.0,True,False,False
4,97.67,96.5,93.89,94.67,95.07,93.78,93.29,91.38,90.3,88.77,87.52,84.72,84.38,84.1,81.49,-0.71,-17.62,17.67,0.74,16.0,10.0,10.0,10.33,46.0,64.0,95.33,96.0,97.0,97.33,97.67,97.0,12.5,13.67,9.17,10.17,15.5,42.83,95.5,96.33,96.5,96.67,96.5,96.0,8.44,8.78,6.78,7.89,17.44,55.11,92.89,93.78,94.22,94.11,94.22,94.22,2.58,10.83,8.58,8.75,29.58,67.17,93.08,93.42,94.67,94.5,94.58,95.17,2.0,2.0,2.33,6.27,15.93,70.53,93.4,94.27,95.47,95.4,95.4,95.33,1.67,3.61,2.78,6.28,10.0,71.72,93.39,93.94,95.28,95.11,94.61,93.72,1.43,3.67,2.76,4.29,3.57,67.0,94.0,94.05,94.48,94.52,94.29,93.9,1.25,2.83,2.21,3.12,5.12,72.5,94.0,93.54,93.33,93.79,93.62,93.5,1.11,2.22,2.85,3.81,23.74,92.33,93.11,92.81,93.19,93.11,92.78,93.3,1.2,3.63,3.73,4.93,60.3,92.37,91.73,92.2,92.53,92.3,92.23,92.1,0.94,3.24,4.27,5.09,68.67,91.97,92.06,89.09,92.79,92.73,92.33,92.03,0.83,2.97,6.06,5.94,72.75,92.03,92.22,88.89,91.69,91.22,91.14,91.33,1.49,3.28,2.18,8.54,73.08,91.77,91.15,89.9,92.13,91.56,91.31,90.72,0.71,2.1,0.71,0.9,78.02,92.19,90.76,88.05,90.64,90.45,89.81,89.24,0.93,1.4,1.67,12.2,77.56,90.18,89.51,85.27,89.18,89.47,89.44,88.38,0,NLP,roberta,-1,proto,True,e49_seq-clinc150_roberta_auto_er_200,1,none,0,[11],1,seq-clinc150,1,auto_er_nlp,1e-05,uniform,32,20,1,True,m,200,32,1.0,True,False,False
0,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,seed,area,ptm,prob_l,prob_type,prob_all_tasks,info,eval_freq,fix_layers,fix_layers_n,feature_layers,feature_layers_n,dataset,filter_rate,model,lr,lr_scheduler,batch_size,n_epochs,freq_eval,use_gpu,pltf,buffer_size,minibatch_size,auto_layer,auto_feature,auto_current_task,
1,94.33,50.0,32.33,23.83,22.13,16.11,14.67,12.88,12.04,12.63,11.21,9.92,9.03,7.79,8.58,-0.57,-94.31,94.31,0.62,18.33,39.33,17.33,22.0,43.0,54.67,92.0,94.67,95.67,95.67,95.33,95.33,19.17,36.67,17.83,15.67,53.5,73.5,88.0,91.83,89.83,85.5,84.33,86.67,14.44,19.56,10.78,11.0,48.89,59.11,74.67,80.22,79.78,72.33,70.78,70.33,16.08,19.17,10.83,17.83,57.58,74.33,80.92,80.92,79.25,76.58,75.17,76.0,11.93,21.07,9.2,14.8,62.6,74.8,82.93,81.87,78.8,75.27,72.6,75.07,9.94,16.22,7.5,10.17,63.11,80.78,81.72,79.28,75.39,69.78,62.72,63.0,8.43,11.57,9.0,18.43,67.29,79.43,77.38,74.81,71.9,70.19,62.52,62.48,7.62,16.29,16.33,24.62,72.29,76.88,73.04,71.04,67.5,62.88,53.62,54.17,10.11,17.26,13.93,31.33,72.07,80.59,73.93,69.67,66.59,61.19,55.48,56.48,7.53,15.9,14.03,35.57,72.63,79.7,75.17,71.97,70.87,64.8,57.13,59.13,9.15,16.45,13.88,39.39,75.97,81.73,79.15,75.18,71.36,65.94,57.67,59.33,7.97,13.5,13.08,36.58,75.97,80.86,76.75,72.64,64.97,56.83,48.17,48.83,8.77,10.87,10.33,23.13,74.67,80.23,75.38,71.95,63.97,57.95,48.49,49.82,3.98,7.93,8.31,16.12,71.48,80.43,74.38,69.6,64.36,57.43,48.48,47.6,2.09,3.44,4.51,29.49,73.09,79.44,75.51,72.58,69.11,64.78,55.96,56.4,0,NLP,bert,-1,proto,True,e411_seq-clinc150_bert_auto_vanilla_200,1,none,0,[11],1,seq-clinc150,1,auto_vanilla_nlp,1e-05,uniform,32,20,1,True,m,200,32,True,False,False,
2,94.0,48.67,32.56,23.42,18.93,15.39,13.81,12.08,10.85,9.8,8.82,7.92,7.26,6.88,6.27,-0.71,-95.64,95.64,0.64,26.0,43.67,70.67,78.33,86.67,89.67,89.33,90.0,91.67,93.33,93.67,94.33,22.17,30.67,40.5,63.67,72.83,79.5,83.0,83.67,79.33,78.17,73.33,75.0,20.67,44.22,46.67,53.67,63.22,72.78,66.67,66.78,67.33,67.44,62.44,62.89,17.92,45.75,50.42,51.17,51.42,63.0,67.33,62.25,62.92,60.75,56.33,55.58,20.8,38.33,38.4,28.6,45.73,62.0,64.0,60.13,58.53,53.6,49.87,48.13,16.0,37.44,39.78,37.72,37.17,54.11,63.22,68.5,62.94,60.22,54.89,55.94,14.38,24.86,39.33,49.24,49.29,65.29,69.19,63.76,62.0,56.81,53.67,54.67,18.17,10.08,48.08,51.88,42.71,61.21,65.04,64.5,66.12,57.92,51.79,52.67,11.26,5.74,33.59,44.19,46.44,61.3,63.37,64.7,59.78,55.04,53.56,55.7,13.83,6.5,28.5,48.23,44.07,56.37,61.37,58.47,55.07,51.87,49.33,54.4,13.27,9.15,13.36,36.61,35.18,50.55,55.58,56.88,54.18,52.27,50.85,52.24,13.06,8.22,16.67,44.86,27.11,51.14,46.97,39.53,44.86,42.25,40.44,39.72,17.41,11.31,16.21,44.69,42.26,48.08,46.9,44.62,48.77,43.46,38.44,34.69,15.26,8.12,15.55,37.29,29.5,35.21,34.14,3.19,36.52,34.21,32.45,32.36,15.09,8.98,12.78,32.47,34.67,27.6,13.16,3.13,38.22,38.36,41.76,40.96,0,NLP,albert,-1,proto,True,e411_seq-clinc150_albert_auto_vanilla_200,1,none,0,[11],1,seq-clinc150,1,auto_vanilla_nlp,1e-05,uniform,32,20,1,True,m,200,32,True,False,False,
3,96.0,49.33,34.11,30.33,22.4,17.28,15.76,14.88,12.3,12.53,11.42,11.53,10.72,8.1,10.87,-0.79,-92.6,92.6,0.74,10.0,15.33,45.67,89.33,96.0,96.0,96.33,96.0,96.67,96.67,96.67,10.33,8.17,14.33,31.67,80.83,84.0,86.83,87.5,86.17,84.0,78.83,74.0,5.0,5.0,10.78,33.22,71.22,71.89,77.56,77.78,80.33,72.89,70.89,50.11,3.33,6.25,14.75,36.17,77.0,77.0,82.92,83.33,85.42,81.0,76.83,22.25,2.5,2.0,10.2,32.13,75.47,77.0,82.8,82.27,83.07,77.93,74.93,40.53,2.0,1.67,10.0,40.83,77.72,79.78,83.28,80.61,80.0,73.22,70.33,30.11,1.67,2.76,10.67,43.29,80.1,81.81,83.76,82.43,77.9,74.33,66.43,53.43,2.86,2.29,11.62,50.92,78.67,81.12,83.75,80.96,75.0,72.08,67.04,51.88,2.67,2.15,11.04,49.07,73.67,76.63,80.37,79.7,73.44,71.44,65.26,45.93,1.11,1.77,17.17,56.97,74.97,77.6,79.63,78.53,72.27,70.23,58.6,41.43,1.03,1.42,22.18,62.0,76.79,79.0,81.79,80.45,75.18,73.42,66.7,46.79,0.91,1.06,28.89,67.67,78.36,80.42,82.97,79.17,71.72,66.61,58.28,31.19,1.58,0.97,24.64,65.64,77.1,78.44,81.03,79.23,72.13,70.08,60.23,34.44,1.51,0.79,14.74,63.14,76.81,77.9,80.52,79.79,73.67,72.79,67.21,50.33,0.71,0.73,20.36,64.82,76.13,75.51,78.67,78.33,74.29,71.44,64.87,51.91,0.67,0,NLP,xlnet,-1,proto,True,e411_seq-clinc150_xlnet_auto_vanilla_200,1,none,0,[11],1,seq-clinc150,1,auto_vanilla_nlp,1e-05,uniform,32,20,1,True,m,200,32,True,False,False,
4,97.67,49.0,34.89,33.08,22.47,16.33,17.62,12.46,13.44,9.83,9.82,11.11,8.82,9.21,9.18,-0.71,-95.17,95.17,0.64,16.0,10.0,10.0,10.33,46.0,64.0,95.33,96.0,97.0,97.33,97.67,97.0,12.83,9.67,8.17,11.33,26.0,46.33,88.83,84.83,89.5,87.17,87.0,75.67,7.78,5.0,5.67,5.89,19.56,58.44,84.11,79.67,82.56,82.33,81.22,66.33,2.5,9.58,8.67,16.33,38.5,62.92,83.75,86.25,84.42,83.5,82.25,69.92,2.0,2.0,2.67,9.93,41.6,74.0,84.67,85.93,83.4,80.73,78.4,73.13,1.67,2.94,2.44,4.78,37.33,79.06,86.39,82.06,81.39,74.28,69.94,60.83,1.43,3.62,2.81,3.95,27.43,79.52,84.71,79.05,77.38,74.14,70.43,56.76,1.25,3.12,2.46,4.96,43.33,80.33,82.83,74.17,71.54,67.33,63.54,47.67,1.15,2.96,1.89,4.41,43.19,79.15,79.41,73.0,69.67,62.59,58.74,47.93,1.23,2.37,2.93,10.7,49.97,75.97,79.03,69.07,62.83,59.23,58.83,35.67,1.12,2.76,2.45,6.94,35.21,77.27,80.52,69.88,66.42,64.58,60.12,34.91,1.03,2.86,3.14,6.81,40.69,80.22,83.61,76.69,72.33,64.03,62.56,45.92,1.51,3.77,3.26,5.36,40.92,75.1,83.13,77.82,73.18,68.69,63.69,60.31,0.71,1.57,0.71,1.02,46.29,80.21,80.79,70.93,61.4,59.57,54.79,48.83,1.09,2.6,1.67,1.8,41.02,73.76,78.6,71.4,67.8,63.11,57.02,51.31,0,NLP,roberta,-1,proto,True,e411_seq-clinc150_roberta_auto_vanilla_200,1,none,0,[11],1,seq-clinc150,1,auto_vanilla_nlp,1e-05,uniform,32,20,1,True,m,200,32,True,False,False,
0,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,seed,area,ptm,prob_l,prob_type,prob_all_tasks,info,eval_freq,fix_layers,fix_layers_n,feature_layers,feature_layers_n,dataset,filter_rate,model,lr,lr_scheduler,batch_size,n_epochs,freq_eval,use_gpu,pltf,buffer_size,minibatch_size,alpha,,,
1,94.0,48.0,31.89,23.83,24.93,21.56,19.67,21.58,25.59,30.2,30.52,31.03,31.1,31.4,32.07,-0.48,-20.9,20.93,1.23,24.33,42.0,24.33,22.33,47.33,60.33,94.0,95.67,94.33,95.0,94.67,95.67,22.5,34.33,13.33,13.33,28.83,30.0,77.5,86.17,87.83,91.83,91.83,92.0,15.78,23.78,8.78,8.44,21.67,22.11,68.44,77.33,77.78,84.22,85.0,83.78,14.42,16.58,8.42,9.08,19.67,17.08,55.0,69.08,74.75,80.58,80.0,83.33,6.73,4.07,3.47,3.2,17.13,15.53,47.27,67.6,76.73,82.6,75.2,83.67,7.78,4.89,3.28,3.78,17.67,15.17,47.56,64.06,74.11,81.22,66.28,83.83,6.95,4.95,4.1,3.86,11.81,10.19,45.9,64.71,76.0,82.86,60.57,82.19,7.12,4.0,3.5,3.12,12.17,11.25,48.67,67.04,76.71,82.5,55.5,81.29,7.59,3.81,3.19,2.93,15.63,16.81,52.56,70.96,77.33,84.44,55.63,81.33,7.47,8.07,6.03,5.27,19.47,23.67,59.13,72.4,75.2,83.3,56.57,80.97,8.15,8.64,5.7,5.48,21.67,27.64,60.21,71.52,75.3,83.0,50.7,82.12,8.08,7.92,6.31,6.14,21.33,31.08,66.92,77.86,78.33,83.69,56.19,81.58,8.79,3.49,6.38,4.05,20.51,34.36,65.54,74.44,75.54,83.18,55.33,81.56,3.79,2.67,2.95,2.74,22.0,35.86,67.38,76.74,76.43,82.48,55.76,81.52,1.67,0.91,3.18,1.78,17.91,34.44,67.18,76.6,78.42,83.4,55.8,80.56,0,NLP,bert,-1,proto,True,e410_bert_der_200,1,none,0,[11],1,seq-clinc150,1,der_nlp,1e-05,uniform,16,20,1,True,m,200,16,100.0,,,
2,97.33,46.67,31.56,23.42,19.6,15.44,14.52,12.79,13.19,14.67,15.15,18.03,20.18,20.83,21.22,-0.76,-16.07,16.1,1.43,10.0,12.67,38.33,88.0,96.0,96.67,97.67,97.0,97.67,96.67,96.67,10.0,5.0,18.0,50.33,84.67,85.17,90.83,90.67,89.0,90.5,87.83,81.33,5.0,3.33,15.22,44.33,76.89,79.78,84.78,87.0,84.11,82.22,72.22,58.0,3.33,5.08,19.92,40.75,74.42,74.42,78.58,80.75,74.58,74.58,67.25,38.17,2.5,2.0,17.73,29.87,74.8,75.67,77.93,79.87,71.6,73.07,56.4,21.33,2.0,1.67,14.39,34.06,62.89,70.56,77.39,78.44,67.11,68.28,48.0,14.72,1.67,2.9,14.38,34.19,64.81,69.95,76.19,78.29,67.57,69.38,48.76,11.67,1.43,2.75,17.29,35.83,64.0,67.54,75.33,76.75,68.62,68.83,40.67,8.62,1.25,3.3,22.67,42.33,67.63,70.89,79.19,79.81,69.44,68.19,52.07,2.48,1.11,5.67,22.43,48.9,70.2,74.6,81.3,81.77,71.07,68.5,51.53,7.1,1.0,8.33,32.09,54.94,71.45,74.73,81.15,81.7,72.82,74.36,54.39,1.21,1.82,8.0,33.61,57.89,72.58,75.58,81.36,81.28,76.42,73.06,57.72,1.36,2.14,4.13,37.85,61.33,74.26,76.97,80.05,79.38,75.97,70.38,54.62,5.92,1.49,3.67,39.33,65.14,76.6,77.83,82.24,81.19,75.86,72.14,59.9,5.88,0.71,3.11,43.11,66.49,76.33,76.93,82.0,81.02,74.47,71.18,61.42,4.18,1.89,0,NLP,xlnet,-1,proto,True,e410_xlnet_der_200,1,none,0,[11],1,seq-clinc150,1,der_nlp,1e-05,uniform,16,20,1,True,m,200,16,100.0,,,
3,98.0,48.33,33.11,28.58,28.87,30.67,32.05,32.17,32.74,29.63,32.7,33.28,33.97,32.6,31.78,-0.6,-27.0,27.0,1.27,12.0,11.67,10.0,10.0,59.0,72.67,96.0,95.67,97.67,97.67,98.0,97.33,10.33,7.83,16.0,37.33,47.33,67.33,74.0,78.67,90.5,91.83,87.5,75.83,6.89,4.89,14.67,32.67,38.67,61.44,68.11,65.0,79.44,80.67,76.44,58.0,2.58,7.92,13.5,21.83,27.17,50.92,66.0,61.08,76.5,76.92,71.42,55.0,2.0,5.13,10.07,20.8,28.07,43.33,60.27,57.53,80.8,78.73,73.0,52.47,1.67,3.89,8.89,15.22,25.33,42.56,60.22,61.39,79.44,77.39,70.83,45.67,1.43,4.14,9.19,18.1,30.57,45.05,66.0,70.19,81.48,77.14,69.81,55.38,1.25,3.79,5.58,11.83,27.83,46.88,69.04,73.04,83.17,80.17,69.92,51.33,1.11,2.89,6.04,15.93,31.81,44.37,68.67,73.11,82.89,79.96,71.96,51.89,1.0,2.6,7.63,18.57,29.77,44.1,71.77,76.8,84.9,80.83,69.67,53.73,1.06,2.21,8.82,23.7,34.76,47.03,74.33,78.09,84.24,77.12,68.94,55.48,0.83,1.92,8.0,25.69,36.36,51.08,74.83,78.08,83.14,75.03,65.86,55.36,1.33,3.41,11.31,27.05,40.62,58.54,78.1,79.38,83.85,75.23,68.13,54.28,0.71,2.86,8.4,23.62,42.62,55.79,77.64,79.48,82.79,74.64,67.0,53.33,1.11,3.8,10.84,21.76,39.91,61.67,79.8,80.2,83.02,76.6,68.82,56.07,0,NLP,roberta,-1,proto,True,e410_roberta_der_200,1,none,0,[11],1,seq-clinc150,1,der_nlp,1e-05,uniform,16,20,1,True,m,200,16,100.0,,,
